Sl. No. Col. (1),State/UT Col. (2),Murder (Sec.302 IPC) - Col. (3),Culpable Homicide not amounting to Murder (Sec.304 IPC) - Col. (4),Infanticide (Sec.315 IPC) - Col. (5),Foeticide (Sec.316 IPC) - Col. (6),Dowry Deaths (Sec.304B IPC) - Col. (7),Attempt to Commit Murder (Sec.307 IPC) - Col. (8),Attempt to Commit Culpable Homicide (Sec.308 IPC) - Col. (9),"Grievous Hurt (Secs.325, 326, 326A & 326B IPC) - Col. (10)",Kidnapping and Abduction (Secs.363-369 IPC) - Col. (11),Rape (Sec.376 IPC) - Col. (12),Attempt to Commit Rape (Sec.376 r/w 511 IPC) - Col. (13),Rioting (Secs.147-151 & 153A IPC) - Col. (14),Robbery (Secs.392 to 394 IPC) - Col. (15),Dacoity (Secs.395 to 398 IPC) - Col. (16),Arson (Secs.435 to 438 IPC) - Col. (17),Total Violent Crimes (Cols.3 to 17) - Col. (18)
1,Andhra Pradesh,956,112,10,1,108,1528,3,1009,835,1188,162,444,259,74,526,7215
2,Arunachal Pradesh,49,3,0,0,0,27,0,161,85,83,9,6,50,7,12,492
3,Assam,1192,95,0,0,198,1288,2,10918,7580,1733,561,780,1885,188,513,26933
4,Bihar,2799,136,0,0,1000,7626,582,11420,10198,786,63,6298,2422,267,183,43780
5,Chhattisgarh,1007,42,5,21,65,691,2,999,2681,1093,7,904,553,73,315,8458
6,Goa,26,2,0,0,0,30,0,86,52,72,0,40,27,1,9,345
7,Gujarat,1010,114,3,23,11,856,71,2976,1621,589,1,161,560,121,210,8327
8,Haryana,1112,45,5,14,275,947,99,1434,3554,1716,235,2253,692,156,291,12828
9,Himachal Pradesh,86,8,0,0,2,69,0,427,430,358,3,315,8,3,53,1762
10,Jharkhand,1573,41,1,0,281,2976,2,2477,1767,1425,164,1834,693,124,138,13496
11,Karnataka,1357,84,5,2,158,2680,23,1301,2879,555,4,4193,1618,188,230,15277
12,Kerala,337,78,0,0,9,600,1716,1704,364,771,61,1725,780,64,256,8465
13,Madhya Pradesh,2034,197,6,23,522,1910,55,5752,9511,2947,28,1050,1165,84,754,26038
14,Maharashtra,2330,276,5,6,172,3489,46,7881,10502,2496,1,8709,6067,623,1152,43755
15,Manipur,46,9,0,0,2,130,0,152,85,26,0,60,8,0,27,545
16,Meghalaya,80,10,4,0,0,56,0,83,123,75,26,1,69,26,27,580
17,Mizoram,24,9,0,0,0,19,18,34,2,26,0,0,21,2,31,186
18,Nagaland,27,2,1,0,0,34,0,17,48,4,0,1,16,2,6,158
19,Odisha,1394,12,1,0,293,5062,1,2207,5625,1456,151,2220,2814,355,653,22244
20,Punjab,723,177,1,9,69,926,76,1804,1787,464,60,0,107,43,76,6322
21,Rajasthan,1786,96,7,13,452,2103,681,701,7717,6337,987,249,1485,78,412,23104
22,Sikkim,14,2,0,0,0,6,0,23,39,8,0,0,6,0,11,109
23,Tamil Nadu,1686,71,15,0,27,2842,4,1073,821,422,20,2275,2558,111,461,12386
24,Telangana,1026,428,1,1,175,1437,8,1519,2760,823,36,562,464,42,562,9844
25,Tripura,122,5,0,0,22,137,0,918,136,61,14,117,17,7,81,1637
26,Uttar Pradesh,3717,1371,0,0,2222,4010,1809,14039,14554,2845,277,5302,1909,130,317,52502
27,Uttarakhand,208,42,0,2,72,212,7,242,819,534,33,791,174,14,12,3162
28,West Bengal,1884,246,0,0,454,12636,2548,18257,8339,1123,875,776,318,52,396,47904
Total State(S),Total State(S),28605,3713,70,115,6589,54327,7753,89614,94914,30016,3778,41066,26745,2835,7714,397854
29,Andaman and Nicobar Islands,16,3,0,0,1,6,7,24,7,15,2,2,2,0,3,88
30,Chandigarh,17,1,0,0,4,23,3,21,154,74,0,39,17,6,3,362
31,Dadra and Nagar Haveli and Daman and Diu,14,1,0,0,0,6,3,14,48,3,0,3,11,3,3,109
32,Delhi,459,60,5,3,141,761,662,404,5527,1250,6,68,2333,26,88,11793
33,Jammu and Kashmir,136,27,4,3,16,513,0,42,1013,315,14,751,104,3,131,3072
34,Ladakh,5,2,0,0,0,1,0,1,4,2,0,8,0,0,0,23
35,Lakshadweep,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5
36,Puducherry,19,0,0,0,2,34,0,45,40,2,0,17,12,4,16,191
Total UT(S),Total UT(S),667,94,9,6,164,1345,675,551,6793,1661,22,888,2479,42,247,15643
Total All India,Total All India,29272,3807,79,121,6753,55672,8428,90165,101707,31677,3800,41954,29224,2877,7961,413497
